"Nhood","logFC","logCPM","F","PValue","FDR","SpatialFDR","Nhood_center","Celltype","Celltype_fraction"
7249,-2.67123750028808,6.66528835910978,39.3517727177914,1.43562812787275e-09,2.21142058990788e-08,1.95649695995254e-08,"445941","CD4 Naive",0.492957746478873
7250,1.44728886094534,6.77116023716335,6.87242129839733,0.00926005701888195,0.0244877772482095,0.024254727362768,"127178","Naive-IFN B",0.272727272727273
7251,4.28154182537312,7.1255859351976,26.7991725009047,1.03025805443587e-06,9.07322281541398e-06,8.42846441838912e-06,"479011","Platelets",0.837837837837838
7252,-0.898307241072696,6.94456556157195,3.56576679219769,0.0600756830688994,0.113426365941876,0.113326678280559,"330446","CD4 Tfh",0.13953488372093
7253,-1.05033909007771,6.98757181800694,4.58869626008126,0.0330958251843235,0.069786668450751,0.0698262469512065,"321905","CD4 Tfh",0.235955056179775
7254,-1.78223721040072,6.77669154422123,13.80122644303,0.000247859187094109,0.00112929586667546,0.00108449418443435,"53666","CD14 Monocyte",0.949152542372881
7255,0.572444914483012,6.78515796241324,1.21295461640624,0.271747961546448,0.378031433582234,0.378677248738429,"3717","CD14 Monocyte",0.981651376146789
7256,-0.352034074807935,6.82039723582148,0.528187789308156,0.468011804695669,0.5758748383138,0.57643296662404,"377817","CD8 Tem GZMB+",0.170731707317073
7257,0.001553352025238,6.73808996753896,8.71077637745578e-05,0.992560357055674,0.994636052796249,0.994612939573314,"106910","CD14 Monocyte",0.78125
7258,-2.63360866029826,7.2537929564145,22.1897546610732,3.99564120841356e-06,2.95521875111867e-05,2.75057244902448e-05,"332718","CD4 Tfh",0.41869918699187
7259,-0.165062568454761,6.97561953666872,0.107049409303262,0.743787203713622,0.812430151547023,0.811777128241798,"243449","CD14 Monocyte",0.25
7260,1.25706080292679,6.982459326116,4.67719733832781,0.0314921559327525,0.0670274616168687,0.0670237384206918,"144337","Switched memory B",0.331360946745562
7261,-1.13452645880972,6.76788567739934,5.90017747730549,0.015805289290741,0.0380634378569651,0.0379237267055746,"419988","CD8 Tem GZMB+",0.192660550458716
7262,0.516021949436509,6.81900033230698,1.01381454990129,0.314910020588162,0.425187810971123,0.425612395006112,"241829","TReg Cytotoxic",0.338709677419355
7263,-0.343912737677564,6.7788499344777,0.469134091105174,0.49398496602365,0.599889139199718,0.600455662536163,"146978","Naive B",0.484536082474227
7264,-0.63595831574026,6.99607688442562,1.87364579406108,0.172218290711984,0.26445445945692,0.265051362914608,"314943","CD4 Naive",0.423076923076923
7265,-1.94056187083045,6.71809416957386,16.9689173234638,5.08421302351603e-05,0.000286008412146802,0.000270449833018259,"50922","CD14 Monocyte",0.911764705882353
7266,-3.27942331438881,6.87809364643483,45.2365064983634,1.07237300449439e-10,1.8386069953286e-09,1.60612923460501e-09,"148422","CD14 Monocyte",0.220183486238532
7267,-0.350605597018973,6.79036736815272,0.545624377141847,0.460765382178093,0.569496810422148,0.569882309162582,"280315","NK CD56dim CD57-",0.278846153846154
7268,1.1420229254979,6.72360600088358,4.60053992684991,0.0328719655126472,0.0693686514153762,0.0694017152267314,"431162","NK CD56dim CD57+",0.5
7269,2.07147370377358,6.57072689165126,18.1817312575345,2.79608711613203e-05,0.000169144976719379,0.000159096846608651,"112435","CD14 Monocyte",0.213114754098361
7270,1.53257130360679,6.81977134546657,7.57240857508321,0.00633628253343408,0.0178338954808479,0.0176635411924682,"166451","cDC2",0.291390728476821
7271,3.27927438394653,6.7117270038797,35.6137087279111,9.32045656756214e-09,1.31968722861228e-07,1.17542260246428e-07,"165992","Switched memory B",0.305970149253731
7272,2.41661899599248,6.8523418936566,17.9373796244299,3.15293198099703e-05,0.000187713193239468,0.00017677737206259,"200792","TReg Cytotoxic",0.166666666666667
7273,-0.663218563939304,6.75350764904987,1.96413108960502,0.162243308615476,0.252174747635778,0.252791274287429,"419324","NK CD56dim CD57int",0.411764705882353
7274,1.73366663580461,6.98161681305206,8.46717206513843,0.00393340471331729,0.0119889325804033,0.0118683429789723,"406457","NK CD56dim CD57int",0.808290155440414
7275,0.765452917706467,6.77283503610605,2.31095446010052,0.129658417508732,0.210962266812006,0.211115776268636,"287651","CD4 Tfh",0.217391304347826
7276,-1.44234078712438,6.70634432911103,8.90305342367564,0.0031156227044408,0.00983380429317249,0.00970679121165654,"324341","CD4 Tfh",0.329545454545455
7277,-1.10748779885917,6.89725494092414,5.60728426124264,0.0186048283128576,0.0436173927532631,0.0435188301527092,"237606","CD4 Th17",0.376
7278,2.81276291563056,6.82287607488191,23.2328939622455,2.42141289317039e-06,1.88309757040619e-05,1.75102900204903e-05,"421541","NK CD56dim CD57int",0.814102564102564
7279,-1.23730213595006,6.81323438080054,5.98935659027273,0.0150564244624728,0.0366231418731882,0.0364436014771434,"55006","CD14 Monocyte",0.884615384615385
7280,-1.67238238975804,6.95473067000454,12.0245124348314,0.000612580588475942,0.00245871650213498,0.00238828377328118,"130009","CD14 Monocyte",0.286666666666667
7281,-0.903388669740803,6.72736950598013,3.57211082669584,0.0598498017296536,0.113088922153373,0.112975255344253,"140168","CD14 Monocyte",0.390243902439024
7282,0.317290181918752,6.82170471199736,0.369125226003488,0.544002208287398,0.645137312325268,0.645430457452688,"167381","CD14 Monocyte",0.224806201550388
7283,0.916194748934544,6.89213454592862,3.12300825534208,0.0783461061457056,0.140819675797118,0.140744503821473,"449162","CD14 Monocyte",0.389705882352941
7284,-4.20235272826332,6.80789812130731,86.882453518959,4.71102150986609e-18,2.54600854021228e-16,2.27974961151835e-16,"146129","CD14 Monocyte",0.285714285714286
7285,0.594643557032639,7.04024648690877,1.26572503950021,0.261589040959688,0.366677617106166,0.367190206283994,"458586","ILC1",0.258426966292135
7286,0.429125912835887,6.78197747600645,0.677991626661265,0.411020198697898,0.522036875450566,0.522446645514319,"430852","NK CD56dim CD57low",0.18796992481203
7287,-1.07445095732021,6.75825917782106,5.06386916801081,0.0252507955982046,0.0560153944556114,0.0559504898250546,"95938","CD16 Monocyte",0.805555555555556
7288,0.852675403139592,6.82811763783518,2.76079873285133,0.0977835405833259,0.168351605676977,0.168512043826602,"455104","CD14 Monocyte",0.394495412844037
7289,1.19237309552907,6.67676482707664,5.13627416913089,0.0242381971749704,0.0541112076505219,0.0540476132129571,"404647","NK CD56dim CD57int",0.689320388349515
7290,-1.7163466523856,6.77342107308355,14.1146806803566,0.000211564606618157,0.000984112682815527,0.000943794897914227,"274898","CD4 Tfh",0.308510638297872
7291,-1.15975981266442,6.93858238090685,5.71682197941254,0.0175019655095992,0.0414573688850443,0.0413542244866115,"129185","Atypical memory B",0.232258064516129
7292,-0.427287975486747,6.9450963772194,0.820847491289471,0.365756245622073,0.476801727527433,0.477259418343702,"278329","CD4 Naive",0.182432432432432
7293,2.72559721181501,6.74101407229518,24.1540792192591,1.560663824974e-06,1.28341688015596e-05,1.19439007661975e-05,"127599","Naive-IFN B",0.442953020134228
