participant,tissue,disease,module,expansion_bin,value,n_cells
U34,R,UC,Antibody secretion/UPR,2,2.868401142799261,138
U34,R,UC,Antibody secretion/UPR,3–4,2.764621477085129,107
U34,R,UC,Antibody secretion/UPR,≥5,2.2594199778151336,32
U34,R,UC,IgA mucosal,1,2.8195057065697844,660
U34,R,UC,IgA mucosal,2,2.7057499155007534,138
U34,R,UC,IgA mucosal,3–4,2.575415161175642,107
U34,R,UC,IgA mucosal,≥5,2.6611380323574245,32
U34,R,UC,IgG inflammatory,1,3.834375696873228,660
U34,R,UC,IgG inflammatory,2,3.766084068713229,138
U34,R,UC,IgG inflammatory,3–4,3.5171571208190056,107
U34,R,UC,IgG inflammatory,≥5,2.63151847947217,32
U34,R,UC,Cycling B,1,0.0,660
U34,R,UC,Cycling B,2,0.0,138
U34,R,UC,Cycling B,3–4,0.0,107
U34,R,UC,Cycling B,≥5,0.0,32
U34,pBMC,UC,Plasma differentiation,1,0.6389482824752548,286
U34,pBMC,UC,Plasma differentiation,2,0.4436067469470466,18
U34,pBMC,UC,Antibody secretion/UPR,1,1.0324618485987138,286
U34,pBMC,UC,Antibody secretion/UPR,2,0.774098604820312,18
U34,pBMC,UC,IgA mucosal,1,0.47305646306762394,286
U34,pBMC,UC,IgA mucosal,2,0.5040808184902388,18
U34,pBMC,UC,IgG inflammatory,1,0.8173819389300897,286
U34,pBMC,UC,IgG inflammatory,2,0.5224430399094586,18
U34,pBMC,UC,Cycling B,1,0.5042762992210263,286
U34,pBMC,UC,Cycling B,2,0.0,18
U35,R,UC,Plasma differentiation,1,0.800510615221075,482
U35,R,UC,Plasma differentiation,2,3.389643497677052,22
U35,R,UC,Plasma differentiation,3–4,3.288930264872302,3
U35,R,UC,Antibody secretion/UPR,1,1.74928974618607,482
U35,R,UC,Antibody secretion/UPR,2,3.011128047815319,22
U35,R,UC,Antibody secretion/UPR,3–4,3.095974783966269,3
U35,R,UC,IgA mucosal,1,0.9923556152270078,482
U35,R,UC,IgA mucosal,2,2.717097032710956,22
U35,R,UC,IgA mucosal,3–4,3.56269717436816,3
U35,R,UC,IgG inflammatory,1,1.1150379276540512,482
U35,R,UC,IgG inflammatory,2,3.4184376518053474,22
U35,R,UC,IgG inflammatory,3–4,1.9034043504510245,3
U35,R,UC,Cycling B,1,0.0,482
U35,R,UC,Cycling B,2,0.0,22
U35,R,UC,Cycling B,3–4,0.0,3
U35,pBMC,UC,Plasma differentiation,1,0.3983247864634638,258
U35,pBMC,UC,Plasma differentiation,2,0.0,6
U35,pBMC,UC,Antibody secretion/UPR,1,0.8939671666195537,258
U35,pBMC,UC,Antibody secretion/UPR,2,0.8333547391144601,6
U35,pBMC,UC,IgA mucosal,1,0.0,258
U35,pBMC,UC,IgA mucosal,2,0.0,6
U35,pBMC,UC,IgG inflammatory,1,0.5586096015680118,258
U35,pBMC,UC,IgG inflammatory,2,0.6662682919201013,6
U35,pBMC,UC,Cycling B,1,0.0,258
U35,pBMC,UC,Cycling B,2,0.0,6
U41,R,UC,Plasma differentiation,1,1.0062506706955134,306
U41,R,UC,Plasma differentiation,2,2.524090243558608,14
U41,R,UC,Plasma differentiation,3–4,1.371131859187006,10
U41,R,UC,Plasma differentiation,≥5,2.4988756050971928,18
U41,R,UC,Antibody secretion/UPR,1,2.0805925317129863,306
U41,R,UC,Antibody secretion/UPR,2,2.572424799947144,14
U41,R,UC,Antibody secretion/UPR,3–4,1.3342868112015251,10
U41,R,UC,Antibody secretion/UPR,≥5,1.8832241561419474,18
U41,R,UC,IgA mucosal,1,0.9352803369260407,306
U41,R,UC,IgA mucosal,2,1.8154044316647815,14
U41,R,UC,IgA mucosal,3–4,0.8670235104974998,10
U41,R,UC,IgA mucosal,≥5,2.0672500821400757,18
U41,R,UC,IgG inflammatory,1,1.2702594719133178,306
U41,R,UC,IgG inflammatory,2,2.832604034170158,14
U41,R,UC,IgG inflammatory,3–4,1.7701338664736945,10
U41,R,UC,IgG inflammatory,≥5,1.8602896031437104,18
U41,R,UC,Cycling B,1,0.0,306
U41,R,UC,Cycling B,2,0.0,14
U41,R,UC,Cycling B,3–4,0.0,10
U41,R,UC,Cycling B,≥5,0.0,18
U41,pBMC,UC,Plasma differentiation,1,0.3707552185382096,287
U41,pBMC,UC,Antibody secretion/UPR,1,0.7125237170400118,287
U41,pBMC,UC,IgA mucosal,1,0.4741765063166549,287
U41,pBMC,UC,IgG inflammatory,1,0.5461228360798269,287
U41,pBMC,UC,Cycling B,1,0.0,287
U44,pBMC,UC,Plasma differentiation,1,0.39469753799060747,212
U44,pBMC,UC,Plasma differentiation,2,0.4305164352699853,10
U44,pBMC,UC,Antibody secretion/UPR,1,1.1750610723670656,212
U44,pBMC,UC,Antibody secretion/UPR,2,0.4410140683253791,10
