roc_auc,balanced_accuracy,accuracy,brier,sensitivity,specificity,modality,task,outer_fold,n_test,best_params
1.0,0.625,0.8333333333333334,0.05813859501054695,1.0,0.25,tcr,uc_vs_control,7,18,"{""clf__C"": 0.1, ""select__percentile"": 25}"
1.0,0.5,0.7222222222222222,0.10817913730879379,1.0,0.0,tcr,uc_vs_control,8,18,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.9846153846153847,0.5,0.7222222222222222,0.1391271508711254,1.0,0.0,tcr,uc_vs_control,9,18,"{""clf__C"": 0.1, ""select__percentile"": 25}"
1.0,0.8,0.8888888888888888,0.06805245709681254,1.0,0.6,tcr,uc_vs_control,10,18,"{""clf__C"": 0.1, ""select__percentile"": 25}"
1.0,0.9,0.9473684210526315,0.037994913335249555,1.0,0.8,tcr,uc_vs_control,11,19,"{""clf__C"": 0.1, ""select__percentile"": 25}"
1.0,0.5,0.7777777777777778,0.10534621087716839,1.0,0.0,tcr,uc_vs_control,12,18,"{""clf__C"": 0.1, ""select__percentile"": 25}"
1.0,0.5,0.7222222222222222,0.12603523121923388,1.0,0.0,tcr,uc_vs_control,13,18,"{""clf__C"": 0.1, ""select__percentile"": 25}"
1.0,0.6,0.7777777777777778,0.12038589841335584,1.0,0.2,tcr,uc_vs_control,14,18,"{""clf__C"": 0.1, ""select__percentile"": 25}"
1.0,0.7,0.8333333333333334,0.06986909260106494,1.0,0.4,tcr,uc_vs_control,15,18,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.7420634920634921,0.7103174603174603,0.71875,0.21488451031878122,0.7777777777777778,0.6428571428571429,tcr,cd_vs_uc,1,32,"{""clf__C"": 10, ""select__percentile"": 25}"
0.746031746031746,0.6388888888888888,0.65625,0.24444518444656174,0.7777777777777778,0.5,tcr,cd_vs_uc,2,32,"{""clf__C"": 10, ""select__percentile"": 25}"
0.9473684210526316,0.7692307692307692,0.8125,0.13562033047843536,1.0,0.5384615384615384,tcr,cd_vs_uc,3,32,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.9017094017094017,0.8012820512820513,0.8064516129032258,0.13013873395326184,0.8333333333333334,0.7692307692307693,tcr,cd_vs_uc,4,31,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.9572649572649572,0.8076923076923077,0.8387096774193549,0.11016012865416501,1.0,0.6153846153846154,tcr,cd_vs_uc,5,31,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.9603174603174602,0.8650793650793651,0.875,0.09461713581728626,0.9444444444444444,0.7857142857142857,tcr,cd_vs_uc,6,32,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.7063492063492064,0.5396825396825397,0.5625,0.25202300085574114,0.7222222222222222,0.35714285714285715,tcr,cd_vs_uc,7,32,"{""clf__C"": 1, ""select__percentile"": 25}"
0.7125506072874493,0.6376518218623481,0.65625,0.223062644639561,0.7368421052631579,0.5384615384615384,tcr,cd_vs_uc,8,32,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.905982905982906,0.829059829059829,0.8387096774193549,0.13188666547380493,0.8888888888888888,0.7692307692307693,tcr,cd_vs_uc,9,31,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.9273504273504274,0.8461538461538461,0.8709677419354839,0.11988645694194276,1.0,0.6923076923076923,tcr,cd_vs_uc,10,31,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.8373015873015872,0.7380952380952381,0.75,0.16911665106512658,0.8333333333333334,0.6428571428571429,tcr,cd_vs_uc,11,32,"{""clf__C"": 0.1, ""select__percentile"": 25}"
